Disdyakis Triacontahedron

C0 = 1.17518645301134929748244365923  = 3 * (15 + sqrt(5)) / 44
C1 = 1.38196601125010515179541316563  = (5 - sqrt(5)) / 2
C2 = 1.901491624090794379859549273853 = 3 * (5 + 4 * sqrt(5)) / 22
C3 = 2.17082039324993690892275210062  = 3 * (5 + sqrt(5)) / 10
C4 = 2.23606797749978969640917366873  = sqrt(5)
C5 = 3.07667807710214367734199293309  = (75 + 27 * sqrt(5)) / 44
C6 = 3.51246117974981072676825630186  = (15 + 9 * sqrt(5)) / 10
C7 = 3.61803398874989484820458683437  = (5 + sqrt(5)) / 2
C8 = 3.80298324818158875971909854771  = 3 * (5 + 4 * sqrt(5)) / 11

V0  = (0.0, 0.0,  C8)
V42 = (-C5,  C0,  C2)
V43 = (-C5,  C0, -C2)
V44 = (-C5, -C0,  C2)
V45 = (-C5, -C0, -C2)
V46 = ( C2,  C5,  C0)
V47 = ( C2,  C5, -C0)
V48 = ( C2, -C5,  C0)
V49 = ( C2, -C5, -C0)
V50 = (-C2,  C5,  C0)
V51 = (-C2,  C5, -C0)
V52 = (-C2, -C5,  C0)
V53 = (-C2, -C5, -C0)
V54 = ( C4,  C4,  C4)
V55 = ( C4,  C4, -C4)
V56 = ( C4, -C4,  C4)
V57 = ( C4, -C4, -C4)
V58 = (-C4,  C4,  C4)
V59 = (-C4,  C4, -C4)
V60 = (-C4, -C4,  C4)
V61 = (-C4, -C4, -C4)

Faces:
{ 18,  0,  8 }
{ 18,  8, 32 }
{ 18, 32, 56 }
{ 18, 56, 40 }
{ 18, 40, 10 }
{ 18, 10, 38 }
{ 18, 38, 54 }
{ 18, 54, 30 }
{ 18, 30,  6 }
{ 18,  6,  0 }
{ 19,  1,  7 }
{ 19,  7, 31 }
{ 19, 31, 55 }
{ 19, 55, 39 }
{ 19, 39, 11 }
{ 19, 11, 41 }
{ 19, 41, 57 }
{ 19, 57, 33 }
{ 19, 33,  9 }
{ 19,  9,  1 }
{ 20,  0,  6 }
{ 20,  6, 34 }
{ 20, 34, 58 }
{ 20, 58, 42 }
{ 20, 42, 12 }
{ 20, 12, 44 }
{ 20, 44, 60 }
{ 20, 60, 36 }
{ 20, 36,  8 }
{ 20,  8,  0 }
{ 21,  1,  9 }
{ 21,  9, 37 }
{ 21, 37, 61 }
{ 21, 61, 45 }
{ 21, 45, 13 }
{ 21, 13, 43 }
{ 21, 43, 59 }
{ 21, 59, 35 }
{ 21, 35,  7 }
{ 21,  7,  1 }
{ 22,  2, 11 }
{ 22, 11, 39 }
{ 22, 39, 55 }
{ 22, 55, 47 }
{ 22, 47, 14 }
{ 22, 14, 46 }
{ 22, 46, 54 }
{ 22, 54, 38 }
{ 22, 38, 10 }
{ 22, 10,  2 }
{ 23,  2, 10 }
{ 23, 10, 40 }
{ 23, 40, 56 }
{ 23, 56, 48 }
{ 23, 48, 15 }
{ 23, 15, 49 }
{ 23, 49, 57 }
{ 23, 57, 41 }
{ 23, 41, 11 }
{ 23, 11,  2 }
{ 24,  3, 12 }
{ 24, 12, 42 }
{ 24, 42, 58 }
{ 24, 58, 50 }
{ 24, 50, 16 }
{ 24, 16, 51 }
{ 24, 51, 59 }
{ 24, 59, 43 }
{ 24, 43, 13 }
{ 24, 13,  3 }
{ 25,  3, 13 }
{ 25, 13, 45 }
{ 25, 45, 61 }
{ 25, 61, 53 }
{ 25, 53, 17 }
{ 25, 17, 52 }
{ 25, 52, 60 }
{ 25, 60, 44 }
{ 25, 44, 12 }
{ 25, 12,  3 }
{ 26,  4, 16 }
{ 26, 16, 50 }
{ 26, 50, 58 }
{ 26, 58, 34 }
{ 26, 34,  6 }
{ 26,  6, 30 }
{ 26, 30, 54 }
{ 26, 54, 46 }
{ 26, 46, 14 }
{ 26, 14,  4 }
{ 27,  4, 14 }
{ 27, 14, 47 }
{ 27, 47, 55 }
{ 27, 55, 31 }
{ 27, 31,  7 }
{ 27,  7, 35 }
{ 27, 35, 59 }
{ 27, 59, 51 }
{ 27, 51, 16 }
{ 27, 16,  4 }
{ 28,  5, 15 }
{ 28, 15, 48 }
{ 28, 48, 56 }
{ 28, 56, 32 }
{ 28, 32,  8 }
{ 28,  8, 36 }
{ 28, 36, 60 }
{ 28, 60, 52 }
{ 28, 52, 17 }
{ 28, 17,  5 }
{ 29,  5, 17 }
{ 29, 17, 53 }
{ 29, 53, 61 }
{ 29, 61, 37 }
{ 29, 37,  9 }
{ 29,  9, 33 }
{ 29, 33, 57 }
{ 29, 57, 49 }
{ 29, 49, 15 }
{ 29, 15,  5 }
