Dual Geodesic Icosahedron Pattern 7 [4,0]

C0  = 0.0755719619866930616042238442956
C1  = 0.0895792795965400872624314859396
C2  = 0.122278003090984402361945984354
C3  = 0.154508497187473712051146708591 = (sqrt(5) - 1) / 8
C4  = 0.156462870542631385951463886547
C5  = 0.158429604302818162430319575086
C6  = 0.169373987128237748308754038171
C7  = 0.181431896627637137918075428653
C8  = 0.274052867983575871675489042319
C9  = 0.299450816262405540721570399664
C10 = 0.307217069317915694009431781266
C11 = 0.310971367730105098002610595139
C12 = 0.339579279596540087262431485940
C13 = 0.358324284855891260915703384198
C14 = 0.394942319074931828670423691073
C15 = 0.434398161089278754972732397662
C16 = 0.437776381213793512983811765946
C17 = 0.451992579689692476293861419717
C18 = 0.455913686805036926673034286211
C19 = 0.549907459973030688929278181923
C20 = 0.556676164180263157334678382017
C21 = 0.579780871891331277393809788682
C22 = 0.5812699373014915656849208235851
C23 = 0.592741522111892373242666256796
C24 = 0.632248126166956218938902226312
C25 = 0.648104561590284114650658461929
C26 = 0.666461647208757816096639073538
C27 = 0.705913686805036926673034286211
C28 = 0.708337064275848851359597757009
C29 = 0.750643924429729313993674861756
C30 = 0.771140528064095939463374077686
C31 = 0.778442951279598132626825227963
C32 = 0.795492966401577013935465772151
C33 = 0.802613058777757826701805170521
C34 = 0.825148992383889473384547368022
C35 = 0.889768960903485989277673185662
C36 = 0.892192338374297913964236656460
C37 = 0.900720954370582534988771212317
C38 = 0.938105156747222538309513172880
C39 = 0.940514515192333687772128115857
C40 = 0.987683841186824201913089947869

V0   = ( 0.0,   C7,  C40)
V312 = ( C21,  C21,  C21)
V313 = ( C21,  C21, -C21)
V314 = ( C21, -C21,  C21)
V315 = ( C21, -C21, -C21)
V316 = (-C21,  C21,  C21)
V317 = (-C21,  C21, -C21)
V318 = (-C21, -C21,  C21)
V319 = (-C21, -C21, -C21)

Faces:
{ 216, 144,  72,  74, 146 }
{ 217, 147,  75,  73, 145 }
{ 218, 150,  78,  76, 148 }
{ 219, 149,  77,  79, 151 }
{ 220, 152,  80,  81, 153 }
{ 221, 155,  83,  82, 154 }
{ 222, 157,  85,  84, 156 }
{ 223, 158,  86,  87, 159 }
{ 224, 160,  88,  92, 164 }
{ 225, 165,  93,  89, 161 }
{ 226, 166,  94,  90, 162 }
{ 227, 163,  91,  95, 167 }
{  36,  96, 120,  60,   0,  12 }
{  37,  13,   1,  61, 121,  97 }
{  38,  14,   2,  62, 122,  98 }
{  39,  99, 123,  63,   3,  15 }
{  40,  16,   0,  60, 124, 100 }
{  41, 101, 125,  61,   1,  17 }
{  42, 102, 126,  62,   2,  18 }
{  43,  19,   3,  63, 127, 103 }
{  44, 104, 128,  64,   4,  20 }
{  45,  21,   5,  65, 129, 105 }
{  46,  22,   4,  64, 130, 106 }
{  47, 107, 131,  65,   5,  23 }
{  48,  24,   6,  66, 132, 108 }
{  49, 109, 133,  67,   7,  25 }
{  50, 110, 134,  66,   6,  26 }
{  51,  27,   7,  67, 135, 111 }
{  52, 112, 136,  68,   8,  28 }
{  53,  29,   8,  68, 137, 113 }
{  54,  30,   9,  69, 138, 114 }
{  55, 115, 139,  69,   9,  31 }
{  56,  32,  10,  70, 140, 116 }
{  57, 117, 141,  70,  10,  33 }
{  58, 118, 142,  71,  11,  34 }
{  59,  35,  11,  71, 143, 119 }
{  60, 120, 192, 252, 196, 124 }
{  61, 125, 197, 253, 193, 121 }
{  62, 126, 198, 254, 194, 122 }
{  63, 123, 195, 255, 199, 127 }
{  64, 128, 200, 256, 202, 130 }
{  65, 131, 203, 257, 201, 129 }
{  66, 134, 206, 258, 204, 132 }
{  67, 133, 205, 259, 207, 135 }
{  68, 136, 208, 260, 209, 137 }
{  69, 139, 211, 261, 210, 138 }
{  70, 141, 213, 262, 212, 140 }
{  71, 142, 214, 263, 215, 143 }
{ 168, 228, 296, 272, 312, 264 }
{ 169, 265, 313, 273, 297, 229 }
{ 170, 266, 314, 274, 298, 230 }
{ 171, 231, 299, 275, 315, 267 }
{ 172, 268, 316, 276, 300, 232 }
{ 173, 233, 301, 277, 317, 269 }
{ 174, 234, 302, 278, 318, 270 }
{ 175, 271, 319, 279, 303, 235 }
{ 176, 236, 304, 280, 312, 272 }
{ 177, 273, 313, 281, 305, 237 }
{ 178, 274, 314, 282, 306, 238 }
{ 179, 239, 307, 283, 315, 275 }
{ 180, 276, 316, 284, 308, 240 }
{ 181, 241, 309, 285, 317, 277 }
{ 182, 242, 310, 286, 318, 278 }
{ 183, 279, 319, 287, 311, 243 }
{ 184, 244, 288, 264, 312, 280 }
{ 185, 281, 313, 265, 289, 245 }
{ 186, 282, 314, 266, 290, 246 }
{ 187, 247, 291, 267, 315, 283 }
{ 188, 284, 316, 268, 292, 248 }
{ 189, 249, 293, 269, 317, 285 }
{ 190, 250, 294, 270, 318, 286 }
{ 191, 287, 319, 271, 295, 251 }
{  12,  14,  38,  74,  72,  36 }
{  15,  13,  37,  73,  75,  39 }
{  18,  16,  40,  76,  78,  42 }
{  17,  19,  43,  79,  77,  41 }
{  20,  21,  45,  81,  80,  44 }
{  23,  22,  46,  82,  83,  47 }
{  25,  24,  48,  84,  85,  49 }
{  26,  27,  51,  87,  86,  50 }
{  28,  32,  56,  92,  88,  52 }
{  33,  29,  53,  89,  93,  57 }
{  34,  30,  54,  90,  94,  58 }
{  31,  35,  59,  95,  91,  55 }
{ 144, 216, 256, 200, 296, 228 }
{ 145, 229, 297, 201, 257, 217 }
{ 146, 230, 298, 202, 256, 216 }
{ 147, 217, 257, 203, 299, 231 }
{ 148, 232, 300, 204, 258, 218 }
{ 149, 219, 259, 205, 301, 233 }
{ 150, 218, 258, 206, 302, 234 }
{ 151, 235, 303, 207, 259, 219 }
{ 152, 220, 260, 208, 304, 236 }
{ 153, 237, 305, 209, 260, 220 }
{ 154, 238, 306, 210, 261, 221 }
{ 155, 221, 261, 211, 307, 239 }
{ 156, 240, 308, 212, 262, 222 }
{ 157, 222, 262, 213, 309, 241 }
{ 158, 223, 263, 214, 310, 242 }
{ 159, 243, 311, 215, 263, 223 }
{ 160, 224, 252, 192, 288, 244 }
{ 161, 245, 289, 193, 253, 225 }
{ 162, 246, 290, 194, 254, 226 }
{ 163, 227, 255, 195, 291, 247 }
{ 164, 248, 292, 196, 252, 224 }
{ 165, 225, 253, 197, 293, 249 }
{ 166, 226, 254, 198, 294, 250 }
{ 167, 251, 295, 199, 255, 227 }
{ 168,  96,  36,  72, 144, 228 }
{ 169, 229, 145,  73,  37,  97 }
{ 170, 230, 146,  74,  38,  98 }
{ 171,  99,  39,  75, 147, 231 }
{ 172, 232, 148,  76,  40, 100 }
{ 173, 101,  41,  77, 149, 233 }
{ 174, 102,  42,  78, 150, 234 }
{ 175, 235, 151,  79,  43, 103 }
{ 176, 104,  44,  80, 152, 236 }
{ 177, 237, 153,  81,  45, 105 }
{ 178, 238, 154,  82,  46, 106 }
{ 179, 107,  47,  83, 155, 239 }
{ 180, 240, 156,  84,  48, 108 }
{ 181, 109,  49,  85, 157, 241 }
{ 182, 110,  50,  86, 158, 242 }
{ 183, 243, 159,  87,  51, 111 }
{ 184, 112,  52,  88, 160, 244 }
{ 185, 245, 161,  89,  53, 113 }
{ 186, 246, 162,  90,  54, 114 }
{ 187, 115,  55,  91, 163, 247 }
{ 188, 248, 164,  92,  56, 116 }
{ 189, 117,  57,  93, 165, 249 }
{ 190, 118,  58,  94, 166, 250 }
{ 191, 251, 167,  95,  59, 119 }
{   0,  16,  18,   2,  14,  12 }
{   1,  13,  15,   3,  19,  17 }
{   4,  22,  23,   5,  21,  20 }
{   6,  24,  25,   7,  27,  26 }
{   8,  29,  33,  10,  32,  28 }
{   9,  30,  34,  11,  35,  31 }
{  96, 168, 264, 288, 192, 120 }
{  97, 121, 193, 289, 265, 169 }
{  98, 122, 194, 290, 266, 170 }
{  99, 171, 267, 291, 195, 123 }
{ 100, 124, 196, 292, 268, 172 }
{ 101, 173, 269, 293, 197, 125 }
{ 102, 174, 270, 294, 198, 126 }
{ 103, 127, 199, 295, 271, 175 }
{ 104, 176, 272, 296, 200, 128 }
{ 105, 129, 201, 297, 273, 177 }
{ 106, 130, 202, 298, 274, 178 }
{ 107, 179, 275, 299, 203, 131 }
{ 108, 132, 204, 300, 276, 180 }
{ 109, 181, 277, 301, 205, 133 }
{ 110, 182, 278, 302, 206, 134 }
{ 111, 135, 207, 303, 279, 183 }
{ 112, 184, 280, 304, 208, 136 }
{ 113, 137, 209, 305, 281, 185 }
{ 114, 138, 210, 306, 282, 186 }
{ 115, 187, 283, 307, 211, 139 }
{ 116, 140, 212, 308, 284, 188 }
{ 117, 189, 285, 309, 213, 141 }
{ 118, 190, 286, 310, 214, 142 }
{ 119, 143, 215, 311, 287, 191 }
